business_name,category,city,address,phone,source
Centrepoint,"Department store, Baby clothing store, Baby store, Beauty product supplier, Clothing store, Health and beauty shop",Dubai,"Centrepoint - 1st Floor, Deira City center - Deira - Dubai - United Arab Emirates",9718006927,Google Places
AL RAS DEPARTMENT STORE,Grocery store,Dubai,AL RAS DEPARTMENT STORE - 4 31a St - Deira - Al Ras - Dubai - United Arab Emirates,97142252336,Google Places
New West Zone Supermarket - Muraqqabat,"Department store, Supermarket, Grocery store, Hypermarket",Dubai,"New West Zone Supermarket - Muraqqabat, Opp. Coral Hotel - Al Muraqqabat Rd - Deira - Dubai - United Arab Emirates",97142540938,Google Places
Lifestyle,"Department store, Beauty supply store, Clothing store, Fashion accessories store, Handbags shop, Home goods store, Stationery store",Sharjah,Lifestyle - Sahara Centre Overpass - Al Nahda - Al Nahda 1 - Sharjah - United Arab Emirates,97165316700,Google Places
Centrepoint,"Department store, Baby clothing store, Baby store, Beauty product supplier, Clothing store, Health and beauty shop",Dubai,"Centrepoint, Al Ghurair Centre - 1st floor - Deira - Dubai - United Arab Emirates",9718006927,Google Places
OVS,"Department store, Baby clothing store, Children's clothing store, Clothing store, Fashion accessories store, Lingerie store, Men's clothing store, Variety store, Women's clothing store",Dubai,"OVS, Al Ghurair Centre - Deira - Dubai - United Arab Emirates",Unknown,Google Places
Saving Home Head Officeسيفينج هوم مكتب الرئيسي,Department store,Dubai,Saving Home Head Officeسيفينج هوم مكتب الرئيسي - AlRass Gold Building Num 212 - Al Ahmadiya St - opp. Emirates post Alrass - Deira - Dubai - United Arab Emirates,97142360212,Google Places
K.M TRADING SHOPPING CENTRE,Department store,Sharjah,K.M TRADING SHOPPING CENTRE - Al Rolla St - Al Ghuwair - Al Gharb - Sharjah - United Arab Emirates,97165631115,Google Places
Zaharat Al Sharq,Department store,Dubai,Zaharat Al Sharq - Khalid Bin Al Waleed Rd - Dubai - United Arab Emirates,97143499510,Google Places
Centrepoint,Department store,Sharjah,"Centrepoint - Al Nahda St, Sahara Centre Shopping Mall Sahara mall west expansion, Al NahdaAl - Al Nahda 1 - Sharjah - United Arab Emirates",9718006927,Google Places
Emirates Shopping Center Project,Department store,Dubai,Emirates Shopping Center Project - 18 52B Street - Garhoud - Dubai - United Arab Emirates,Unknown,Google Places
MNS TEXTILE TRADING L.L.C,Department store,Dubai,MNS TEXTILE TRADING L.L.C - MURSID BAZAR - Dubai - United Arab Emirates,971554303826,Google Places
Al Kabayel (Abu Hail),"Department store, Discount supermarket",Dubai,Al Kabayel (Abu Hail) - 322 D91 - Deira - Dubai - United Arab Emirates,97143971155,Google Places
Fresh & Save Department Store LLC,Hypermarket,Dubai,Fresh & Save Department Store LLC - Behind Karama Fish market and - Marama Bus Station - Al Karama - Dubai - United Arab Emirates,971564645888,Google Places
Elements by MEYCI - Fashion Concept Store in Dubai,"Department store, Chocolate shop, Clothing store, Cosmetics store, Fashion accessories store, Handbags shop, Jewelry store, Shoe store, Watch store, Youth clothing store",Dubai,Elements by MEYCI - Fashion Concept Store in Dubai - Gate Avenue - DIFC - Dubai - United Arab Emirates,97144239097,Google Places
Centrepoint,"Department store, Baby clothing store, Baby store, Beauty product supplier, Clothing store, Health and beauty shop",Dubai,Centrepoint - Dubai Festival City Mall - Dubai - United Arab Emirates,9718006927,Google Places
Jashanmal Department Store - Dubai Festival City,Home goods store,Dubai,"Jashanmal Department Store - Dubai Festival City, Mall - Level G, 0003 - Dubai Festival City - Dubai - United Arab Emirates",97142329023,Google Places
D J EASY DEPARTMENT STORE,Clothing store,Dubai,7894+H25 D J EASY DEPARTMENT STORE - Baniyas Rd - Deira - Dubai - United Arab Emirates,Unknown,Google Places
BBZ,"Department store, Clothing store",Dubai,782J+FJ BBZ - Port Saeed - Dubai - United Arab Emirates,971547932245,Google Places
Lifestyle,"Department store, Beauty supply store, Clothing store, Fashion accessories store, Handbags shop, Home goods store, Stationery store",Dubai,"Lifestyle - Centrepoint Store, Ground Floor & 1st Floor, South Way, Dubai Festival City - Dubai - United Arab Emirates",971558528524,Google Places
Gate 1 to 10 Shop,"Department store, Clothing store, Cosmetics store, Discount supermarket, Home improvement store, Outlet mall, Outlet store, Shopping mall, Toy store, Warehouse store",Dubai,Gate 1 to 10 Shop - 4 14 St - Deira - Al Sabkha - Dubai - United Arab Emirates,97142268833,Google Places
Tourist Star Trading L.L.C.,Department store,Dubai,Tourist Star Trading L.L.C. - Al Nahdha St - Bur Dubai - Al Fahidi - Dubai - United Arab Emirates,97143937227,Google Places
Lifestyle,"Department store, Beauty supply store, Clothing store, Fashion accessories store, Handbags shop, Home goods store, Stationery store",Dubai,"Lifestyle - Muhaisnah 4th, First Floor, Opp : Carrefour, Madina Mall. - Dubai - United Arab Emirates",Unknown,Google Places
Al Kabayel (Gold Souk),Department store,Dubai,Al Kabayel (Gold Souk) - 2 4th St - Deira - Al Sabkha - Dubai - United Arab Emirates,97142269255,Google Places
MUMUSO Head office,Department store,Dubai,"MUMUSO Head office, Boulevard Plaza, Tower 1 - Downtown Dubai - Dubai - United Arab Emirates",97142638682,Google Places
BBZ,"Department store, Clothing store",Sharjah,79XC+56G BBZ - Al Nahda St - Al Nahda - Al Nahda 1 - Sharjah - United Arab Emirates,97148136100,Google Places
Dream land whare house department store,Supermarket,Dubai,Dream land whare house department store - 64 2B Street - Al Khabaisi - Dubai - United Arab Emirates,971558000226,Google Places
SS NE AL MANAK G73,Department store,Sharjah,SS NE AL MANAK G73 - 149 Ibrahim Mohammed Al Medfa'a St - Al Manakh - Al Gharb - Sharjah - United Arab Emirates,Unknown,Google Places
Bottego Boutique,Department store,Dubai,"Bottego Boutique, Wafi mall - Umm Hurair 2 - Dubai - United Arab Emirates",97143551772,Google Places
New West Zone Supermarket - Al Fahidi,"Department store, Grocery store, Hypermarket, Supermarket",Dubai,New West Zone Supermarket - Al Fahidi - 104 Khalid Bin Al Waleed Rd - Al Raffa - Dubai - United Arab Emirates,97143514499,Google Places
Traffic General Trading LLC,Department store,Dubai,"Traffic General Trading LLC - Shop No. 1 & 2, Concord 2 Building - Al Mankhool Rd - Al Satwa - Dubai - United Arab Emirates",97142293333,Google Places
Camellia Dreams.,Clothing store,Dubai,Camellia Dreams. - 27 - 25 Deira St - Deira - Dubai - United Arab Emirates,Unknown,Google Places
Closet Case,Clothing store,Dubai,"Closet Case - The dubai mall, second floor, fashion avenue, sf268 Financial Center Street Along Sheikh Zayed Road, Next to Burj Khalifa Dubai - United Arab Emirates",971543388688,Google Places
"CATERPILLAR STORE (CAT), AL-GHURAIR CENTRE",Department store,Dubai,"CATERPILLAR STORE (CAT), AL-GHURAIR CENTRE, Al Ghurair Centre - Shop # G75, Ground Floor - Al Rigga Rd - Al Muraqqabat - Dubai - United Arab Emirates",97142502480,Google Places
Al Kabayel Discount Centre (Deira),Department store,Dubai,Al Kabayel Discount Centre (Deira) - Abu Baker Al Siddique Rd - Deira - Dubai - United Arab Emirates,97142696255,Google Places
Pierre Cardin,Department store,Dubai,"68H9+FGW Pierre Cardin, Wafi City - Road - Oud Metha - Dubai - United Arab Emirates",97143244876,Google Places
Caterpillar,Department store,Dubai,Caterpillar - Unit GF - 225 - Financial Center Rd - Downtown Dubai - Dubai - United Arab Emirates,97143399183,Google Places
Hadi Enterprises LLC,Department store,Dubai,"Hadi Enterprises LLC, Shaikh Rashid Building - Umm Hurair Rd - Al Karama - Dubai - United Arab Emirates",97143369530,Google Places
Smart Baby Sharjah City Centre,Baby clothing store,Sharjah,"Smart Baby Sharjah City Centre, city centre - Al Nahdha - Industrial AreaIndustrial Area 1 - Sharjah - United Arab Emirates",971561883485,Google Places
DAR AL ZAIN GROCERY,Department store,Dubai,DAR AL ZAIN GROCERY - 1 Warehouse path - Ras Al Khor Industrial Area - Ras Al Khor Industrial Area 1 - Dubai - United Arab Emirates,Unknown,Google Places
Marc Jacobs store,Clothing store,Dubai,57XJ+579 Marc Jacobs store - Dubai Mall service road - Downtown Dubai - Dubai - United Arab Emirates,97143393399,Google Places
Teska General Trading,Department store,Dubai,Teska General Trading - Salah Al Din St - Deira - Dubai - United Arab Emirates,97142666042,Google Places
Safeer Department Store,Clothing store,Sharjah,Safeer Department Store - Al Nasiriyah - Al Sharq - Sharjah - United Arab Emirates,971569910256,Google Places
BBZ,Department store,Sharjah,"BBZ, CITY CENTRE - Al Wahda St - Al Nahdha - Industrial Area - Sharjah - United Arab Emirates",97148136100,Google Places
Medcare Store -Aster,Department store,Dubai,79VX+JMF Medcare Store -Aster - Al Qusais Industrial Area - Al Qusais Industrial Area 4 - Dubai - United Arab Emirates,Unknown,Google Places
W Mart Supermarket,"Department store, Supermarket, Grocery store, Hypermarket",Dubai,"W Mart Supermarket, Burj Daman Building - Al Mustaqbal St - Za'abeel - Za'abeel 2 - Dubai - United Arab Emirates",97148748485,Google Places
New West Zone Supermarket - Oud Metha,"Department store, Supermarket, Grocery store, Hypermarket",Dubai,New West Zone Supermarket - Oud Metha - Behind Movenpick Hotel - 19th St - Dubai - United Arab Emirates,97143885252,Google Places
Carrefour Hypermarket,"Department store, Deli, Supermarket, Electronics store, Food court, Hypermarket",Dubai,"Carrefour Hypermarket, City Center - Port Saeed - Dubai - United Arab Emirates",97180073232,Google Places
Al Kabayel (Rolla Sharjah),Department store,Sharjah,Al Kabayel (Rolla Sharjah) - opp. Rolla Sq Park - Al Shuwaiheen - Sharjah - United Arab Emirates,97165688280,Google Places
West Zone Supermarket - Karama3,"Department store, Supermarket, Grocery store, Hypermarket",Dubai,West Zone Supermarket - Karama3 - 13 2A St - Al Karama - Dubai - United Arab Emirates,97143966995,Google Places
Anantha Departmental stores,"Department store, Supermarket",Krishnankovil,"Anantha Departmental stores, Puthukudierupu, Krishnankovil, Nagercoil, Tamil Nadu 629001, India",Unknown,Google Places
Carrefour Hypermarket,"Department store, Deli, Supermarket, Electronics store, Hypermarket",Dubai,Carrefour Hypermarket - Dubai Festival City - Dubai - United Arab Emirates,97180073232,Google Places
Viseart - Dubai Mall Debenhams,Department store,Dubai,"Viseart - Dubai Mall Debenhams - Debenhams, Dubai Mall-1st Flr-nxt to Fashion Avenue - Dubai - United Arab Emirates",Unknown,Google Places
Ebuyzones,Department store,Dubai,7892+4F5 Ebuyzones - Deira - Al Sabkha - Dubai - United Arab Emirates,97142222565,Google Places
Dsquared2 Department Store | Saks Fifth Avenue Dubai,Men's clothing store,Dubai,Dsquared2 Department Store | Saks Fifth Avenue Dubai - Sheikh Khalifa Bin Zayed St - Al Mankhool - Dubai - United Arab Emirates,Unknown,Google Places
Phoenix Department Store,Department store,Dubai,Phoenix Department Store - 7 22a St - Ras Al Khor Industrial AreaRas Al Khor Industrial Area 1 - Ras Al Khor Industrial Area - Ras Al Khor Industrial Area 1 - Dubai - United Arab Emirates,Unknown,Google Places
Seean Co.,Department store,Dubai,78HJ+G9P Seean Co. - Deira - Dubai - United Arab Emirates,Unknown,Google Places
Lagos Department Store LLC,Boutique,Dubai,78C2+GX7 Lagos Department Store LLC - Al Sabkha Rd - Deira - Al Sabkha - Dubai - United Arab Emirates,Unknown,Google Places
Hala Mart,Department store,Sharjah,Hala Mart - Al Mahatta - Al Qasimia - Sharjah - United Arab Emirates,971509591490,Google Places
Top Brands Outlet Dubai,"Outlet store, Clothing store, Outlet mall",Dubai,Top Brands Outlet Dubai - Abu Baker Al Siddique Rd - Deira - Dubai - United Arab Emirates,971501694694,Google Places
SS NE Al NAHDA G71,Department store,Sharjah,SS NE Al NAHDA G71 - 198 First Industrial St - Industrial Area 2 - Industrial Area - Sharjah - United Arab Emirates,Unknown,Google Places
Al Dhafra Mall,Shopping mall,Abu Dhabi,Al Dhafra Mall - Madinat Za'id - Abu Dhabi - United Arab Emirates,97128881133,Google Places
City Mall,Shopping mall,Abu Dhabi,City Mall - Zayed City - Abu Dhabi - United Arab Emirates,9718006927,Google Places
AL Dhafra Mall LuLu Hypermarket,Shopping mall,Abu Dhabi,AL Dhafra Mall LuLu Hypermarket - 7 شارع البركة - Zayed City - Abu Dhabi - United Arab Emirates,97128870001,Google Places
حصن المرابع Hosn ALMaraba,Shopping mall,Abu Dhabi,JP74+2W حصن المرابع Hosn ALMaraba - Madinat Za'id - Abu Dhabi - United Arab Emirates,971507773763,Google Places
Western Souk & Mall,Shopping mall,Abu Dhabi,Western Souk & Mall - Liwa - Tarif Rd - Zayed City - Abu Dhabi - United Arab Emirates,97128882028,Google Places
مكتبة منارة العلم للقرطاسية - Manarat AlEilm stationery,Shopping mall,Abu Dhabi,مكتبة منارة العلم للقرطاسية - Manarat AlEilm stationery - Zayed City - Abu Dhabi - United Arab Emirates,97128848850,Google Places
Al Dhafra Walk,"Shopping mall, Shop supermarket furniture store",Abu Dhabi,Al Dhafra Walk - Liwa - Tarif Rd - Zayed City - Abu Dhabi - United Arab Emirates,971501403104,Google Places
Adnoc Oasis,"Shopping mall, Convenience store",Abu Dhabi,Adnoc Oasis - شارع طريف - Liwa - Tarif Rd - Zayed City - Abu Dhabi - United Arab Emirates,971800300,Google Places
AL Dhafra Co-Operative Society,Shopping mall,Abu Dhabi,MP24+VFM AL Dhafra Co-Operative Society - Zayed City - Abu Dhabi - United Arab Emirates,97128986666,Google Places
تسجيلات الهنوف,Shopping mall,Abu Dhabi,تسجيلات الهنوف - Al Furousiyyah St - Zayed City - Abu Dhabi - United Arab Emirates,971522020978,Google Places
نجوم الظفرة لتأجير السيارات,Shopping mall,Abu Dhabi,MM6V+7C3 نجوم الظفرة لتأجير السيارات - Zayed City - Abu Dhabi - United Arab Emirates,Unknown,Google Places
محلات راشد,Shopping mall,Abu Dhabi,MP53+J39 محلات راشد - Unnamed Road - Abu Dhabi - United Arab Emirates,Unknown,Google Places
السوق الجديد,Shopping mall,Abu Dhabi,JPX3+RX8 السوق الجديد - E45 - Madinat Za'id - Abu Dhabi - United Arab Emirates,Unknown,Google Places
Mina Stone,Shopping mall,Abu Dhabi,MP6M+QG2 Mina Stone - Zayed City - Abu Dhabi - United Arab Emirates,Unknown,Google Places
Dubai Mall,Shopping mall,Dubai,Dubai Mall - Downtown Dubai - Dubai - United Arab Emirates,971800382246255,Google Places
Mercato Shopping Mall,Shopping mall,Dubai,Mercato Shopping Mall - Jumeirah Beach Rd - Jumeirah - Jumeirah 1 - Dubai - United Arab Emirates,97143444161,Google Places
MyZeil,Shopping mall,Frankfurt,"MyZeil, Zeil 106, 60313 Frankfurt am Main, Germany",6929723970,Google Places
Sandhof Passage,Shopping mall,Frankfurt,"Sandhof Passage, Neue Kräme 29, 60311 Frankfurt am Main, Germany",Unknown,Google Places
BurJuman,Shopping mall,Dubai,BurJuman - Khalid Bin Al Waleed Rd - Al Mankhool - Dubai - United Arab Emirates,97143520222,Google Places
Karama Shopping Complex - Block T,Shopping mall,Dubai,Karama Shopping Complex - Block T - 29 16th St - Al Karama - Dubai - United Arab Emirates,Unknown,Google Places
Al Musalla Tower Shopping Mall,Shopping mall,Dubai,78F4+FF3 Al Musalla Tower Shopping Mall - Al Musalla Rd - Deira - Dubai - United Arab Emirates,Unknown,Google Places
The Mall,Shopping mall,Dubai,"The Mall, Opp Jumeirah Beach Resort - Jumeirah St - Umm Suqeim - Umm Suqeim 3 - Dubai - United Arab Emirates",97143484848,Google Places
Palm Strip Mall,Shopping mall,Dubai,67M7+CMH Palm Strip Mall - Jumeirah - Jumeirah 1 - Dubai - United Arab Emirates,97143461462,Google Places
Wafi City,Shopping mall,Dubai,Wafi City - Oud Metha Rd - Umm Hurair 2 - Dubai - United Arab Emirates,97143244555,Google Places
Bar 50,"Bar, Beer garden, Cocktail bar, Dog cafe, Function room facility, Hostel, Pool hall, Restaurant, Sports bar",Edinburgh,"Bar 50, Bar 50, 50 Blackfriars St, Edinburgh EH1 1NE, United Kingdom",1135266372,Google Places
The Bow Bar,"Pub, Bar",Edinburgh,"The Bow Bar, 80 W Bow, Edinburgh EH1 2HH, United Kingdom",1312267667,Google Places
Bramble Bar,"Bar, Cocktail bar, Restaurant",Edinburgh,"Bramble Bar, 16A Queen St, Edinburgh EH2 1JE, United Kingdom",1312266343,Google Places
Wunderbar,"Cocktail bar, Bar, Pizza restaurant, Pub, Restaurant",Glasgow,"Wunderbar, 28 Springfield Ct, Glasgow G1 3BZ, United Kingdom",1412803934,Google Places
George IV Bar,Pub,Edinburgh,"George IV Bar, 54 George IV Bridge, Edinburgh EH1 1EJ, United Kingdom",1312256936,Google Places
Bar West,"Bar & grill, Restaurant",Hamilton,"Bar West, 165 Almada St, Hamilton ML3 0ET, United Kingdom",1698458446,Google Places
Pilgrim Bar,"Cocktail bar, Live music venue, Pub",Edinburgh,"Pilgrim Bar, 3 Robertson's Cl, Edinburgh EH1 1LY, United Kingdom",1315573768,Google Places
The Southern Bar,"Pub, Bar",Edinburgh,"The Southern Bar, 22-26 S Clerk St, Newington, Edinburgh EH8 9PR, United Kingdom",1316628926,Google Places
The Variety Bar,"Pub, Bar",Glasgow,"The Variety Bar, 401 Sauchiehall St, Glasgow G2 3LG, United Kingdom",1413324449,Google Places
The Mitre Bar,Pub,Edinburgh,"The Mitre Bar, 131-133 High St, Edinburgh EH1 1SG, United Kingdom",1316523902,Google Places
Nightcap,"Cocktail bar, Wine bar",Edinburgh,"Nightcap, 3 York Pl, Edinburgh EH1 3EB, United Kingdom",7561851238,Google Places
Bennets Bar,Pub,Edinburgh,"Bennets Bar, 8 Leven St, Edinburgh EH3 9LG, United Kingdom",1312295143,Google Places
St. Vincent Bar,"Pub, Bar, Cocktail bar",Edinburgh,"St. Vincent Bar, 11 St Vincent St, Edinburgh EH3 6SW, United Kingdom",1312263017,Google Places
The Newsroom Bar & Eatery,"Bar & grill, Bar, Wine bar",Edinburgh,"The Newsroom Bar & Eatery, 5-11 Leith St, Edinburgh EH1 3AT, United Kingdom",1315575830,Google Places
The Rat Pack - Piano & Cocktail Bar,"Cocktail bar, Live music bar, Piano bar",Edinburgh,"The Rat Pack - Piano & Cocktail Bar, 9 Shandwick Pl, Edinburgh EH2 4RG, United Kingdom",1312283991,Google Places
Bar 91,"Pub, Bar",Glasgow,"Bar 91, 91 Candleriggs, Glasgow G1 1NP, United Kingdom",1414064562,Google Places
Electric Bar,"Pub, Restaurant",Motherwell,"Electric Bar, 291 Airbles Rd, Motherwell ML1 3AW, United Kingdom",1698268393,Google Places
All Bar One George St Edinburgh,"Wine bar, Restaurant",Edinburgh,"All Bar One George St Edinburgh, 29-31 George St, Edinburgh EH2 2PA, United Kingdom",1312269971,Google Places
The State Bar,"Bar, Pub, Restaurant",Glasgow,"The State Bar, 148-148A Holland St, Glasgow G2 4NG, United Kingdom",1413322159,Google Places
Bar Zero,Bar & grill,Hamilton,"Bar Zero, 13 Keith St, Hamilton ML3 7BL, United Kingdom",7809575391,Google Places
The Piper Whisky Bar,"Bar, Restaurant",Glasgow,"The Piper Whisky Bar, City Centre, 57 Cochrane St, Glasgow G1 1HL, United Kingdom",1415521740,Google Places
The Raging Bull,Cocktail bar,Edinburgh,"The Raging Bull, 161 Lothian Rd, Edinburgh EH3 9AA, United Kingdom",1312285558,Google Places
The Central Bar,Bar,Peebles,"The Central Bar, 6-8 Northgate, Peebles EH45 8RS, United Kingdom",1721725996,Google Places
Bar Solo,"Bar, Cafe",Carlisle,"Bar Solo, 1 Botchergate, Carlisle CA1 1QP, United Kingdom",1228631600,Google Places
Home Bar,Bar,Edinburgh,"Home Bar, 69 Home St, Edinburgh EH3 9JP, United Kingdom",1312283664,Google Places
The Waverley Bar,"Bar, Pub",Edinburgh,"The Waverley Bar, 3-5 St Mary's St, Edinburgh EH1 1TA, United Kingdom",1315579855,Google Places
The Steelworks Bar & Grill,"Bar & grill, Cocktail bar, Restaurant",Motherwell,"The Steelworks Bar & Grill, Glencairn St, Motherwell ML1 1TT, United Kingdom",1698268777,Google Places
Dukes Bar,"Pub, Restaurant",Glasgow,"Dukes Bar, 41 Old Dumbarton Rd, Glasgow G3 8RD, United Kingdom",1413397821,Google Places
The Tron,Pub,Edinburgh,"The Tron, 9 Hunter Square, Edinburgh EH1 1QW, United Kingdom",1312253784,Google Places
Bar 6,"Pub, Bar",Wishaw,"Bar 6, 6 Hill St, Wishaw ML2 7AT, United Kingdom",1698359449,Google Places
The Tower Bar,Pub,Livingston,"The Tower Bar, The Mall, Livingston EH54 5DZ, United Kingdom",1506441737,Google Places
Dirty Dick's Pub,"Pub, Bar, Gastropub",Edinburgh,"Dirty Dick's Pub, 159 Rose St, Edinburgh EH2 4LS, United Kingdom",1312609920,Google Places
Whiski Bar & Restaurant,"Bar, Scottish restaurant, Live music venue, Restaurant",Edinburgh,"Whiski Bar & Restaurant, 119 High St, Edinburgh EH1 1SG, United Kingdom",1315563095,Google Places
Horseshoe Bar,Bar,Motherwell,"Horseshoe Bar, Motherwell Point, 1-3 Muir St, Motherwell ML1 1BH, United Kingdom",1698277930,Google Places
Bar Salsa,Bar,Edinburgh,"Bar Salsa, 3 Cowgatehead, Edinburgh EH1 1JY, United Kingdom",1316291730,Google Places
Captain's Bar,Bar,Edinburgh,"Captain's Bar, 4 S College St, Edinburgh EH8 9AA, United Kingdom",Unknown,Google Places
Kick Ass Bar,"Gastropub, Bar, Restaurant",Edinburgh,"Kick Ass Bar, Candlemaker Row, Edinburgh EH1 1JR, United Kingdom",1312266351,Google Places
International Bar,Bar,Edinburgh,"International Bar, 15 Brougham Pl, Edinburgh EH3 9JX, United Kingdom",1312594848,Google Places
Bar Prince,Cocktail bar,Edinburgh,"Bar Prince, 1 Princes St, Edinburgh EH2 2EQ, United Kingdom",1315562414,Google Places
The Lane Bar,"Cocktail bar, Wine bar",Carlisle,"The Lane Bar, 18 Fisher St, Long Ln, Carlisle CA3 8RH, United Kingdom",1228318013,Google Places
The Cumberland Bar,"Gastropub, Bar",Edinburgh,"The Cumberland Bar, 1-3 Cumberland St, Edinburgh EH3 6RT, United Kingdom",1315583134,Google Places
Malones Edinburgh,"Irish pub, Event venue, Live music venue, Pub, Sports bar",Edinburgh,"Malones Edinburgh, 242 Morrison St, Edinburgh EH3 8DT, United Kingdom",1316035550,Google Places
Tiles Bar,"Pub, Bar, Bar & grill, Restaurant",Edinburgh,"Tiles Bar, 1 St Andrew Square, Edinburgh EH2 2BD, United Kingdom",1315573228,Google Places
Robertsons 37 Bar,Bar,Edinburgh,"Robertsons 37 Bar, 37 Rose St, Edinburgh EH2 2NH, United Kingdom",1312265402,Google Places
The Oz Bar,Bar,Edinburgh,"The Oz Bar, 33 Candlemaker Row, Edinburgh EH1 2QG, United Kingdom",1312596295,Google Places
Ryrie’s Bar,"Pub, Bar, Restaurant",Edinburgh,"Ryrie’s Bar, Edinburgh EH12 5EY, United Kingdom",1313370550,Google Places
Victoria Bar,"Pub, Takeout Restaurant",Edinburgh,"Victoria Bar, 265 Leith Walk, Edinburgh EH6 8PD, United Kingdom",1315551638,Google Places
The Oxford Bar,"Pub, Bar",Edinburgh,"The Oxford Bar, 8 Young St, Edinburgh EH2 4JB, United Kingdom",1315397119,Google Places
Village Bar,Bar,Glasgow,"Village Bar, 144 Station Rd, Blantyre, Glasgow G72 9BW, United Kingdom",1698828801,Google Places
Steps Bar,Bar,Glasgow,"Steps Bar, Norbulk House, 62 Glassford St, Glasgow G1 1UP, United Kingdom",1415522280,Google Places
Wash Bar,"Bar, Function room facility, Pub",Edinburgh,"Wash Bar, 11-13 N Bank St, Edinburgh EH1 2LP, United Kingdom",1312256193,Google Places
Jilts Bar,"Bar, Restaurant",Hamilton,"Jilts Bar, 14 Brandon St, Hamilton ML3 6AB, United Kingdom",1698282631,Google Places
Artisan Bar,"Pub, Bar",Edinburgh,"Artisan Bar, 35-36 London Rd, Edinburgh EH7 5BQ, United Kingdom",1316611603,Google Places
The Press Bar,Bar,Glasgow,"The Press Bar, 199 Albion St, Glasgow G1 1RU, United Kingdom",1415525142,Google Places
B Bar Edinburgh,"Bar, Live music bar, Live music venue, Night club",Edinburgh,"B Bar Edinburgh, 75 South Bridge, Edinburgh EH1 1HN, United Kingdom",1312206395,Google Places
The Carousel Bar,Bar,Bellshill,"The Carousel Bar, 44 Hamilton Rd, Bellshill ML4 1AG, United Kingdom",1698745088,Google Places
All Bar One Glasgow,Wine bar,Glasgow,"All Bar One Glasgow, 56-72 St Vincent St, Glasgow G2 5TS, United Kingdom",1412296060,Google Places
The Bailie Bar,"Pub, Bar, Restaurant",Edinburgh,"The Bailie Bar, 2-4 St Stephen St, Edinburgh EH3 5AL, United Kingdom",1312254673,Google Places
Malones Irish Bar,"Irish pub, Bar",Glasgow,"Malones Irish Bar, 57-59 Sauchiehall Ln, Glasgow G2 4AB, United Kingdom",1413328899,Google Places
The Last Word,Cocktail bar,Edinburgh,"The Last Word, 44 St Stephen St, Edinburgh EH3 5AL, United Kingdom",1312259009,Google Places
The Caley Bar,Bar,Edinburgh,"The Caley Bar, Princes St, Edinburgh EH1 2AB, United Kingdom",1312228832,Google Places
Whistlebinkies,"Live music bar, Bar",Edinburgh,"Whistlebinkies, 4-6 South Bridge, Edinburgh EH1 1LL, United Kingdom",1315575114,Google Places
ThisTime Bar,"Bar, Bar & grill, Restaurant",Carlisle,"ThisTime Bar, 14 -16 Devonshire St, Carlisle CA3 8LP, United Kingdom",1228548481,Google Places
The Argyle and Cellar Bar,Pub,Edinburgh,"The Argyle and Cellar Bar, 15 - 17 Argyle Pl, Edinburgh EH9 1JJ, United Kingdom",1312219759,Google Places
The Cambridge Bar,"Pub, American restaurant, Bar, Gastropub, Hamburger restaurant, Sports bar, Wine bar",Edinburgh,"The Cambridge Bar, 20 Young St, Edinburgh EH2 4JB, United Kingdom",1312262120,Google Places
Drury Street,"Bar & grill, Bar",Glasgow,"Drury Street, Drury St, Glasgow G2 5AA, United Kingdom",1412042929,Google Places
The Wildcat,Bar,Edinburgh,"The Wildcat, 11-13 Tarvit St, Edinburgh EH3 9LB, United Kingdom",1312291938,Google Places
Gates Bar,Pub,Bellshill,"Gates Bar, 274 Main St, Bellshill ML4 1AB, United Kingdom",1698745009,Google Places
The Exchange Bar,Bar & grill,Glasgow,"The Exchange Bar, Princes Mall, East Kilbride, Glasgow G74 1LB, United Kingdom",1355232425,Google Places
The Royal Dick Bar,Pub,Edinburgh,"1, The Royal Dick Bar, Summerhall, Newington, Edinburgh EH9 1PL, United Kingdom",1315601572,Google Places
"Arcade Bar Haggis & Whisky House, celebrating 20 years of serving The Best Haggis in Town!","Bar, Restaurant",Edinburgh,"Arcade Bar Haggis & Whisky House, celebrating 20 years of serving The Best Haggis in Town!, 48 Cockburn St, Jackson's Cl, Edinburgh EH1 1PB, United Kingdom",1312202520,Google Places
The Central Bar,Pub,Edinburgh,"The Central Bar, 7-9 Leith Walk, Edinburgh EH6 8LN, United Kingdom",1315552006,Google Places
Dows Bar,"Bar, Meeting room, Pub",Glasgow,"Dows Bar, 9 Dundas St, Glasgow G1 2AH, United Kingdom",1413327935,Google Places
The Wee Red Bar,Bar,Edinburgh,"The Wee Red Bar, Lauriston Architecture Building, 74 Lauriston Pl, Edinburgh EH3 9DF, United Kingdom",1316515839,Google Places
Bar Central,Bar,Prestwick,"Bar Central, 56 Main St, Prestwick KA9 1NX, United Kingdom",Unknown,Google Places
Max's Bar & Grill,"Bar & grill, Bar, Restaurant",Glasgow,"Max's Bar & Grill, 73 Queen St, Glasgow G1 3BZ, United Kingdom",1412211379,Google Places
No.16 Bar,Bar,Glasgow,"No.16 Bar, 16 Hope St, Glasgow G2 6AA, United Kingdom",1412212056,Google Places
The High Dive Bar,"Pizza restaurant, Cocktail bar, Coffee shop",Edinburgh,"The High Dive Bar, 81/85 St. Leonard's St, Edinburgh EH8 9QY, United Kingdom",1316677793,Google Places
